canonical_form,graph_id
anticrético,A201
anticéptico,A201
anticético,A201
anticívico,A201
antidemocrata,A301
antidemocrático,A201
antidepressivo,A201
antiderrapante,A301
antidiftérico,A201
antidisrítimico,A201
antidistônico,A201
antidiurético,A201
antidivorcista,A301
antidoping,A304
antidínico,A201
antiecológico,A201
antiempresarial,A308
antiescorbútico,A201
antiescravista,A301
antiestéril,A311
antiestético,A201
antifascista,A301
antifebril,A310
antiferromagnético,A201
antiflogístico,A201
antifúngico,A201
antigo,A201S61
antigênico,A201
antiiberista,A301
antiictério,A201
antiimigrantista,A301
antiimperialista,A301
antiinflacionário,A201
antiinflamatório,A201
antiintelectualista,A301
antiintelectualístico,A201
antijurídico,A201
antileucorréico,A201
antilhano,A201
antiliberal,A308
antiligante,A301
antilocaprídeo,A201
antiluético,A201
antimaculador,A218
antimalárico,A201
antimicrobiano,A201
antimicróbico,A201
antimonial,A308
antimonárquico,A201
antimudancista,A301
antimíssil,A311
antinatural,A308
antinomiano,A201
antinômico,A201
antiofídico,A201
antioxidante,A301
antiparalelo,A201
antiparasitário,A201
antipatizado,A201
antipatriota,A301
antipatriótico,A201
antipedagógico,A201
antiperistáltico,A201
antipestoso,A201
antipirético,A201
antipodal,A308
antipoluente,A301
antipoluidor,A218
antipsórico,A201
antipático,A201S07
antipódico,A201
antiquercista,A301
antispástico,A201
antistrumático,A201
antitanque,A306
antiterrorista,A301
antitetânico,A201
antitrinitário,A201
antitruste,A301
antitussígeno,A201
antitético,A201
antitóxico,A201
antivariólico,A201
antivenéreo,A201
antiverista,A301
antiverminoso,A201
antizímico,A201
antiácido,A201
antiético,A201
antocerotáceo,A201
antofagastense,A301
antológico,A201
antoninense,A301
antozoário,A201
antropocêntrico,A201
antropofágico,A201
antropológico,A201
antropomorfo,A201
antropomórfico,A201
antropófago,A201
antropóide,A301
antártico,A201
antérico,A201
antético,A201
antípoda,A301
antófilo,A201
antônimo,A201
anual,A308
anucleado,A201
anulado,A201
anulador,A218
anulante,A301
anular,A303
anulatório,A201
anulável,A308
anunciador,A218
anunciante,A301
anunciativo,A201
anuro,A201
análogo,A201
anárquico,A201
anátema,A301
anátropo,A201
anão,A237D120
anêmico,A201
anídrico,A201
anímico,A201
anódino,A201
anômalo,A201
anônimo,A201
apache,A301
apadrinhado,A201
apadrinhador,A218
apaixonado,A201S03
apaixonante,A301
apaixonável,A308
apalavrado,A201
apalermado,A201
apanhado,A201
aparado,A201
aparador,A218
aparamentado,A201
aparatoso,A201
aparecidense,A301
aparecido,A201
aparelhado,A201
aparelhável,A308
aparentado,A201
aparente,A301
apartado,A201
apassivador,A218
apavorado,A201
apavorador,A218
apavorante,A301
apaziguador,A218
apaziguante,A301
apedicelado,A201
apedrejado,A201
apegadiço,A201
apegado,A201
apelado,A201
apelante,A301
